Date,Course,Tee Time,Weather,Duration (minutes),Group Size,Players,Scramble Team,Contributions,Solo Birdies?,Cart?,Cart Partner,Tee Box,Distance,Holes Played,Own Score?,Game,Par,Score,Front 9,Back 9,Bunker Shots,Water Hazard,Ball Lost,Gallery Rules,Putts,FIR%,GIR%,Eagle Looks,Eagles,Birdie Looks,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys+,0 Putts,1 Putts,2 Putts,3+ Putts,Golf Jacket Color,Golf Shirt Color,Golf Pants Color,Golf Socks Color,Golf Shoe Color,Golf Hat Color
2025-12-22,RiverPines Golf Course,13:50,Sunny,207,4,"Random, Random, Random",,,,Yes,Random,River,6037,17,Yes,Regular,70,82,,,2,0,2,0,28,71,22,0,0,4,1,4,8,3,1,0,6,11,0,Pastel Green,Lime Green,Forest Green,Lime Green,White/Green,Dark Green
2025-12-20,RiverPines Golf Course,13:00,Sunny,246,4,"Random, Random, Random",,,,Yes,Random,White,5785,18,Yes,Regular,70,83,40,43,1,1,2,1,32,64,39,1,0,7,1,7,7,2,1,0,6,10,2,Pastel Green,Cadium Green,Verdigris,Lime Green,White/Green,Dark Green
2025-12-23,RiverPines Golf Course,09:00,Sunny,232,4,"Random, Random, Random",,,,Yes,,White,5785,18,Yes,Regular,70,83,41,42,0,1,2,0,31,29,22,0,0,4,0,7,10,0,1,0,6,11,1,Pastel Green,Cornflour Blue,Verdigris,Olive Green,White/Green,Dark Green
2025-08-03,Weequahic Golf Course,12:20,Sunny,293,4,"Kevin, Jed, Paul",,,,No,,Blue,5729,18,Yes,Regular,70,84,41,43,1,0,3,1,34,69,34,1,0,7,1,8,5,3,1,0,5,10,3,,Jungle Green,Forest Green,White,White/Green,Forest Green
2025-02-08,Hyland Golf Course,13:20,Sunny,220,3,"Jason, Jordan",Self,,,Yes,Jordan,White,6273,18,No,Self-Scramble,72,85,43,42,0,0,6,0,36,,,0,0,0,0,5,13,0,0,0,2,16,0,Lime Green,Cadmium Green,Verdigris,Black,White/Green,Forest Green
2025-09-20,Neshanic Lake/Ridge,07:22,Sunny,225,4,"Jed, Jason, James",,,,Yes,Jed,Black,7065,16,Yes,Regular,63,86,47,39,3,0,5,3,25,29,6,0,0,1,0,2,6,7,1,0,7,9,0,,Lime Green,Black,Black,White/Green,Lime Green
2025-10-11,Spooky Brook Golf Course,13:00,Rain,260,4,"Jiwei, Tharan, Jed",,,,No,,Gold,6655,18,Yes,Regular,72,86,47,39,2,0,1,0,33,36,33,0,0,6,0,8,6,4,0,0,3,15,0,,Cadium Green,Olive Green,Lime Green,White/Green,Dark Blue
2025-11-25,RiverPines Golf Course,11:30,Rain,236,4,"Random, Random, Random",,,,Yes,Random,Blue,6284,18,Yes,Regular,70,88,43,45,3,0,2,1,31,57,22,0,0,4,0,5,9,3,1,1,3,14,0,Dark Green,Jungle Green,Verdigris,Lime Green,White/Green,Lime Green
2025-02-01,Van Cortlandt Park Golf Course,07:42,Snow,186,2,Kevin,,,,Yes,Kevin,Black,6002,18,Yes,Regular,70,89,47,42,3,0,1,0,36,92,28,0,0,5,0,5,9,3,1,0,1,16,1,Hunter Green,Pistachio,Navy Blue,Jungle Green,White/Green,Dark Green
2025-06-01,Van Cortlandt Park Golf Course,06:20,Cloudy,268,4,"Jiwei, Jordan, Random",,,,Yes,Jiwei,Black,6002,18,Yes,Stableford,70,89,42,47,0,0,1,1,31,54,11,0,0,2,0,5,8,4,1,0,8,7,3,Olive Green,Lime Green,Black,Olive Green,Matcha Green,Olive Green
